vp	mean_s1	mean_s2	mean_s3	mean_s4
1	5.2345965136595485	2.7188631566536037	4.2428791901187966	2.8250500741095443
10	4.762499216549564	3.359838045641592	3.638008049509496	2.672870645151167
11	5.922807831388293	3.687948088903176	5.198413049628055	3.827049554526808
12	4.824699703246722	3.755387858367068	4.644401012555363	3.2716375034947465
14	4.459874429760442	2.2435026877551882	3.1666698716395976	2.1012831644612286
15	6.421598027978478	3.2514343314185585	4.930329482262794	3.3929485597775804
16	4.399027706561309	2.9656245731550763	3.5827810503824606	2.484562227677479
2	4.855439688270082	3.479357772533079	4.787655821274164	3.7454271673087582
20	4.135106713752536	2.6258280327502748	3.5501897900073636	2.3877110664058896
22	7.172888602338997	4.2508030072828	6.065060671488479	4.401901507103075
25	3.8321422406764265	4.52225360941639	5.645942766735434	3.3938361908471135
26	3.21011263339218	2.7851278672856905	2.85468582672093	2.3801895170967047
28	5.345958907824567	3.034089593029569	4.5244925456834935	3.0703560401737953
3	6.212954704114567	3.580680741662106	5.551763648191191	4.106263420304799
30	4.273773824180943	3.4732201425801956	4.045428528316414	2.6449646234045057
31	5.172145120240942	2.8312509910187282	3.9313869893606324	3.128475025825514
32	3.68791833370456	2.598319386098897	3.4199234465202366	2.2052209839746677
33	5.841717087773131	3.406487969597091	5.2308807588061175	3.6270455672591453
34	4.384331794886004	3.1448334269525198	3.607840052741326	2.9058183300540215
35	5.0405361486362334	2.655072749458941	3.96588559898428	3.0812335680333245
36	5.180094336653386	2.6785973962949443	3.866470443216154	2.9576783986560553
37	4.626295874993316	1.8617506495095202	2.8633396858824476	2.1724436703095575
39	5.671714310050081	3.1359194928114884	4.843992342785245	3.5055557485914743
4	5.538847497503584	3.16915192119988	4.335996626969873	3.3678218753739877
40	4.640263818653807	2.4615472890282906	3.3435383112681465	2.4319992051473838
41	3.131861929521106	4.556729009534271	5.408737867372689	3.390534040969463
42	5.3896098738585625	2.5087271979243964	3.829573516005495	2.8654743233826867
43	4.143125644064943	2.8099467948472348	3.441204995577264	3.0659166982288353
44	5.6396855926614755	2.6476871044428973	4.262084423548936	3.135128128728536
45	4.352303368890852	2.84829933635912	3.8894986226752	2.7748757873924608
46	5.484733729234919	5.605803368527909	7.4522821157119274	4.686571462270679
47	5.168643280813784	3.000269270740207	4.457198380510173	3.1813902309211453
48	3.8624056531336755	2.8337907672408793	3.0272179226961553	2.502063920132808
49	4.998281674229635	2.624897409264177	3.649822734992645	2.566243064370506
5	4.45055201569822	3.8108627631717438	4.317100224841993	3.353500417747605
50	3.535347204793636	2.5675977514815953	3.0976913313124053	2.582529728173646
51	3.2679244755080994	2.3192256380928704	3.129797799481349	2.0399961067123336
52	6.719097104640607	3.6948940702703066	5.720818643854514	4.232263471186203
53	4.2135218111631705	2.619909580267616	3.3074866271822856	2.691803817859907
54	4.9685752736991	5.4603786966123335	6.837068233280686	4.438721067398806
55	3.0855239698660295	2.979078870562505	3.2730364696618057	2.263433143133922
56	5.175253990979565	2.716423007498464	4.076697351978451	2.807380307394567
57	3.4554528712297383	3.5733669765033644	4.3613570549542215	2.7476430229199016
58	3.678027824459914	2.768543411082583	2.839287432869998	2.632887211190189
6	6.73989913799655	3.5906964275162547	4.8534172212703455	3.5445396604814725
60	4.923065269307243	2.403044528415136	3.877783439287703	2.548207844550139
62	5.017475175063463	2.8939956412777015	4.124216178032039	3.342391934216644
64	6.513609234154403	3.7054447329328077	5.9318779246221505	4.352842202716883
65	4.2793199894682825	2.1761019244527073	2.881940380830442	2.4646030573027997
66	4.123910942042256	3.2308632270429007	3.764875766872473	2.7177545214454955
67	4.69984286556285	2.7325024616670186	3.583191144260357	2.991495560602017
68	4.768694823604477	4.694450399092364	5.9922816249415405	4.683225210469656
69	4.23447268906158	2.446157371568659	3.0296345949043326	2.739905990956793
7	6.571893537932855	5.907291211361843	7.505649437210831	5.349479274551356
71	4.7368018958651845	2.5826672828100596	3.497369567300013	2.905391313415753
72	4.2793199894682825	2.1761019244527073	2.881940380830442	2.4646030573027997
73	6.2216691110600655	3.2249371008415464	5.102358599103325	3.6649516017165817
74	3.3716015761122344	3.390064788341089	3.7285706828732805	2.7983821875172814
75	6.661947375105888	3.453694163567315	4.999069357423413	3.637751370278485
76	4.704495049696288	2.730284515148002	3.9081247667995536	2.8191207368879376
77	4.042048780183052	3.6047059774761134	4.2368628110194235	2.820953941847515
78	5.560514721484604	4.1203314680988	5.083540668878587	3.5364361350224955
79	5.308821904823462	2.9652348363324927	3.589374618207307	2.960755041039033
8	4.961698710575212	2.644623732969912	3.690113259821113	3.0643707012944694
80	5.8820849749849256	3.0247715759394582	4.85658585521931	3.587453595255438
81	5.088497388155582	2.7924816743999825	4.050593976909655	3.211428406019634
82	5.121195857817366	3.4015677067229975	4.242922589443474	3.183867657285327
83	4.209334383128738	2.0371112155668034	3.422848830595891	2.2717566767621435
84	5.507143511204404	3.008887225902737	4.473728851552745	3.544134599675136
85	4.651452509182836	2.5677049240228724	3.686600611175891	2.5475916419754547
87	4.170975584969342	3.250960279267403	4.391889751336008	2.80102791454622
9	5.6324757968327965	3.5811858124169187	4.626997913941382	3.1240503340083183
?	?	?	?	?
?	?	?	?	?
?	?	?	?	?
?	?	?	?	?
?	?	?	?	?
?	?	?	?	?
?	?	?	?	?
?	?	?	?	?
