Cond	19	20	21	24	25	26	28	29	30	32	48	50	52	57	62	64	68	69	01	02	03	04	05	06	07	08	09	10	11	12	14	15	16	22	31	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	49	51	53	54	55	56	58	59	60	63	65	66	67	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87
101					10.5909	-5.977			0.076926		12.5577		7.1752	7.4159		0.26152	8.0776		12.8248	2.3711			0.15214	3.0347			-1.4005	4.4459			-3.9545			0.64035		11.8554	-8.0702		1.5595	9.0852			-3.244	2.4917				3.2595			7.2934		9.5061			2.0395			1.877		-10.9265			11.6062				-3.3028	1.8889		10.3446	-19.976		-1.353		3.8652				3.4232
102		1.063					7.99					7.6466									0.36782	5.6093			-2.3607	1.8561			3.7838	-3.9124		4.0963	4.5642		3.4162			2.8297			10.6943	-3.2979			-2.4969	8.6234			5.6845	-2.6507		4.6642		1.5657			2.4088					3.6309	6.8275		1.4007	11.7926	7.4416			-24.6363			3.332				3.0988	8.4526		
103		-0.16895			6.7742	6.3864			9.917		3.1147		0.13352	8.9608	3.4953	1.3381	3.9122	0.88021	2.9473	17.4221	3.4015	2.6747	1.7854	-0.9932	6.9607	10.0609	-5.1268	-4.5439	5.8849	-9.3658	7.716	5.685	1.9091	3.4865	-0.83935	1.3723	0.71519	3.6886	5.0112	0.35582	2.1122	0.54481	10.185	2.8746	5.6944	6.8348	7.4371	5.8041	15.3259	-2.6542	5.8608	7.2156	-0.38385	-1.2791		2.8853	13.49		-5.5926		7.8473	7.8795	-2.1022	16.9939	-0.78375	4.1606	4.7299	7.5438	3.4255	-3.986	1.6673	-0.90257	3.0699	-0.77253		11.687	0.85513	7.0918		-9.0953
104		13.3663			9.0589		13.8439		8.8455	19.0132	14.2685	-0.087695	2.1958	13.051		-3.7469	7.2999	-6.2118	8.5336	-0.91947	-1.2254	6.8207	3.1806	-3.0893	-6.6725	5.4263	4.9189	-3.6065		-2.726	1.9518	9.6888	9.4007	-0.67934	0.7866	11.5849	1.1328	1.6198	7.281	3.9628	4.5819	3.2951	5.4187	4.9034	10.956	4.28	-5.4182	0.80779	9.3627	12.3847	8.8785	5.2629	-1.2151	3.7319	-3.7084	-5.8541	0.058228		2.3973		2.5482	5.7931	3.8905	7.6616	0.97718	9.4771	-1.2457	-8.874	9.3771	9.8673	6.0571	16.0545	-0.72101	2.6706	15.277	3.0954	5.4616	7.8363		-11.1513
221					16.4523	-1.9568			15.4194		8.953		7.9268	13.6219		-1.5896	1.9549		2.8655	11.5698			-0.66845	3.6134			3.1153	2.5203			-2.1012			3.3889		9.5039	0.021103		2.4966	9.1941			12.9122	5.4301				3.926			11.47		10.9539			3.2846			10.8597		8.0934			9.9932				11.3964	6.7122		10.932	-10.6049		1.5271		0.83514				10.1391
222		5.1934					19.0331					10.7553									-2.1309	3.4623			1.5637	-4.8188			-4.2109	-2.9371		8.8629	5.2774		7.0217			1.7712			3.0745	4.6242			2.2673	2.7054			1.7611	1.2755		-1.8206		1.0894			8.2473					5.4519	3.7261		3.3139	2.0865	3.9322			-3.7007			1.7954				-0.44782	6.5342		
223		-7.3318			2.7699	-6.3379			3.4639		4.4053		7.5954	2.8894	3.7749	2.3777	14.4104	-4.3664	4.5497	1.9754	2.4049	6.0856	-3.1409	10.3583	-1.5666	3.8744	4.5935	-1.06	2.2635	0.92271	3.7274	6.4273	3.5112	12.9435	0.066963	8.5217	2.8789	2.6184	2.6272	-0.022589	6.7004	-0.0017202	-5.3288	23.6863	3.317	2.2299	3.2465	2.9299	3.2884	2.7973	6.1985	4.1187	-2.1796	4.1694		0.65975	10.018		-14.2046		-2.2635	-2.1359	-2.1163	9.0841	9.4458	2.5885	-0.21391	10.0871	11.1209	14.6018	8.086	0.80866	9.8649	4.1405		18.4281	3.3276	-2.3185		2.0461
224		22.5848			6.3622		13.2767		3.7167	9.7085	8.9214	2.1819	1.7977	14.0391		-3.8705	6.8297	3.8175	4.4569	10.7714	3.842	3.3288	-0.27342	3.1802	-1.5006	8.8584	5.8163	2.6072		1.7328	6.5835	14.2553	1.4017	1.4493	0.58567	1.1079	4.2819	2.469	4.7797	6.3246	11.4143	5.6281	-3.0599	4.9136	11.0744	7.7048	-6.9049	8.1504	7.5422	7.5014	-4.4252	3.1961	-5.2159	-0.40944	0.65244	-0.62135	8.0022		8.6894		3.594	4.2026	-0.18977	4.5219	4.3119	6.2233	6.6975	-8.3632	2.629	7.395	4.2038	-9.6525	5.8883	0.0086551	9.1025	11.9121	0.79774	8.3534		0.13841
231					2.5212	11.0984			1.0063		16.1365		1.4886	10.0595		-5.8606	10.5126		1.8631	9.0778			7.2255	11.0532			-18.7947	-4.6134			2.8564			5.7049		-0.68857	0.2209		11.8943	8.0978			7.3146	6.5793				6.5842			1.705		7.5233			0.55803			2.0439		6.6894			8.7126				10.9744	4.5923		9.0554	-2.3126		1.0759		2.3384				0.46487
