Cond	19	20	21	24	25	26	28	29	30	32	48	50	52	57	62	64	68	69	01	02	03	04	05	06	07	08	09	10	11	12	14	15	16	22	31	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	49	51	53	54	55	56	58	59	60	63	65	66	67	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87
101					10.9461	-2.6635			0.61662		5.7157		5.1611	12.5571		-1.6516	0.99482		13.2914	6.5851			-4.8231	-2.5095			-0.7694	2.2299			-7.482			-1.1784		10.4102	-10.4352		-4.5914	11.2376			-1.0746	2.8877				5.2636			5.7025		9.9017			3.3863			1.5346		-4.5831			13.3329				-5.0395	-0.83866		10.7229	-14.4262		1.051		5.8614				6.2682
102		9.0577					7.41					2.9452									-2.7005	0.89055			0.11822	-1.2353			1.8022	-3.245		-5.31	6.3391		-0.29171			2.4944			13.3576	-4.2076			4.7177	6.4045			8.1374	-0.67223		1.8939		1.2184			3.8155					-1.4538	7.4107		-1.4676	6.1747	0.67819			-22.955			-3.2983				-1.2642	8.0301		
103		-3.4552			8.9378	15.989			9.566		3.6385		6.2356	-2.2449	-14.6345	-4.6796	-0.71574	-1.0313	-0.47673	12.5987	3.1308	2.4769	-7.1594	4.1548	6.2841	9.7842	-2.4393	0.19146	-0.10521	-7.2929	10.6481	2.2304	8.0849	1.768	2.1597	0.67632	-4.0889	2.2874	3.7695	5.2771	2.211	1.4811	7.9701	-7.0999	14.5723	1.2282	2.6062	9.2267	13.1675	-0.92831	6.0132	5.6047	-2.0875	-6.2406		7.7884	7.3585		-11.6591		10.9615	8.8902	2.0357	12.6759	0.57221	1.7535	2.9671	11.1007	2.3864	-1.2466	7.4971	-11.0334	-1.7468	0.79216		9.6194	10.1291	10.5162		-12.5947
104		16.0323			-6.6678		11.8825		13.9681	18.3596	12.0818	3.5775	3.9931	14.7021		-6.2485	9.2323	-9.3515	14.8015	0.16966	-0.10629	3.1056	-1.3272	0.069812	-4.6731	4.8099	2.16	-1.9989		0.073204	-2.4423	9.1183	5.605	9.043	0.032503	14.2084	1.453	-0.26315	4.7935	8.5354	4.5014	-3.7324	1.6424	-2.6543	11.3639	3.2679	-5.6374	4.4327	7.3872	8.1867	5.5257	5.8584	-7.4801	1.9392	0.99909	-2.3342	-7.4406		1.8347		3.9601	2.3104	5.8856	12.7218	-7.274	4.2707	-0.7224	-8.7467	9.1333	8.1623	16.3605	5.9152	-4.8905	3.4111	25.513	4.5816	4.8253	11.4074		-3.948
221					11.9938	-10.3197			6.2787		2.3697		12.4535	11.863		1.3642	-4.3341		5.0182	5.9267			-7.6814	0.23398			7.1799	-1.9925			-0.94699			0.55199		7.7061	2.5058		-3.5114	11.572			5.257	4.0221				2.3409			7.9223		4.4063			2.2919			5.1797		8.2137			5.8232				1.1702	1.906		10.8336	-15.3954		3.3128		-3.8746				1.9086
222		7.4177					13.556					10.1111									-6.8806	4.1328			0.64935	1.0882			-6.4345	-0.39883		3.7362	2.4421		4.7569			-0.3043			1.7348	6.6911			-0.56684	-3.399			6.8589	1.2482		-6.865		1.3026			4.2981					1.0555	4.4791		1.9165	-4.6079	-1.3193			-15.7102			-1.909				-3.0336	7.1328		
223		-20.9296			-0.73855	-6.0301			-2.3118		5.6005		5.8729	-4.2437	-11.371	4.1286	5.8595	-4.0971	3.91	2.1711	3.5509	5.1508	-5.6786	5.285	-1.2913	10.4024	7.7488	4.2109	-8.6808	1.4885	-0.70758	2.7386	7.1474	10.1171	2.2966	10.502	2.1812	-0.65279	-2.9085	0.74578	2.7516	-2.4286	-5.8372	4.7342	3.7857	1.0786	5.2492	-1.0114	-2.0135	1.5344	6.5148	0.81362	-2.4784	0.12079		-5.6994	6.449		-23.1113		1.4919	-3.1136	-4.0923	5.3307	10.5876	-5.1905	2.079	9.4399	12.4187	9.3046	4.538	-7.5797	5.8196	1.5474		21.1378	18.4785	4.266		-5.1469
224		24.7518			6.0502		13.8133		2.437	2.4691	-4.0431	8.3814	5.3317	8.1628		-3.7535	12.7494	-2.8403	-6.2777	3.4625	0.39501	6.6788	-4.495	0.67988	-2.8301	15.3169	8.9904	0.24156		-0.65767	3.5558	4.5557	1.3098	3.3924	-4.1999	9.2405	0.21373	-2.0191	-1.2247	1.6634	10.6335	1.1997	-6.725	-7.2947	10.0572	1.8365	0.12319	3.1345	9.5457	7.4482	-7.8076	0.7968	-11.2957	-3.6725	-4.0913	-5.8841	13.3498		9.2998		1.3958	-1.3116	-0.36934	2.8594	0.79514	6.0359	1.5323	-6.9505	-0.61881	-5.0828	3.8859	-5.9538	-2.8041	3.4087	15.2353	7.365	-3.3673	13.6817		-1.9095
231					2.9001	6.2479			-2.9403		8.0847		3.0981	9.4507		-6.9545	3.2869		8.0737	6.8619			5.2474	5.165			-15.7678	-3.0398			4.1435			-0.58519		2.1965	-0.41162		12.8825	7.8555			-1.1165	-0.72842				7.5632			2.4778		2.7665			-4.5112			1.052		4.5214			5.1727				12.8892	5.0997		1.4815	-4.691		0.15381		-4.2486				2.3007
