Cond	19	20	21	24	25	26	28	29	30	32	48	50	52	57	62	64	68	69	01	02	03	04	05	06	07	08	09	10	11	12	14	15	16	22	31	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	49	51	53	54	55	56	58	59	60	63	65	66	67	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87
101					10.4046	-2.3497			0.45733		4.9011		4.4411	11.9559		-1.8612	1.2867		12.903	5.9067			-4.5666	-3.1984			-0.95528	2.0458			-7.4226			-0.97866		9.8797	-10.3639		-4.9338	11.3593			-0.56229	2.4513				5.153			5.0247		9.6445			3.7056			1.4552		-4.4763			12.5843				-5.11	-1.1722		10.0346	-14.6034		1.0475		5.5497				6.0753
102		9.0947					8.0354					2.4949									-2.9081	0.63191			0.39392	-1.4399			1.3603	-2.9139		-6.5691	6.0698		-0.7954			2.1798			13.6816	-4.2883			4.9111	5.4546			8.3732	-0.73562		1.6486		1.3576			3.5433					-1.5331	6.9295		-1.3937	6.059	0.31062			-22.124			-3.2532				-1.9293	7.522		
103		-3.5361			8.6739	16.605			9.0441		3.9328		5.9774	-3.5901	-15.9905	-4.7209	-0.93017	-1.2947	-0.88481	11.7627	3.1798	1.9316	-7.4526	3.7511	6.1643	9.1	-2.7763	0.12832	-0.56747	-7.3324	10.3868	1.9127	8.2857	1.6171	1.9613	0.5815	-4.1805	2.3915	3.724	5.5741	1.6473	0.92537	7.297	-8.1761	14.3124	0.3116	2.1762	8.8376	12.4535	-1.05	5.4987	5.2193	-2.6646	-6.9223		7.9436	6.3289		-12.3666		10.5993	8.8492	1.7257	11.3929	0.46858	1.044	1.8651	10.8799	1.9934	-0.51111	7.2042	-11.3207	-2.2787	0.75502		8.4275	10.5336	10.2845		-12.9993
104		15.7705			-6.5743		11.3225		13.8275	17.3491	11.7456	3.7922	3.6596	14.0071		-6.7038	8.7595	-9.9895	14.2183	-0.41344	-0.059435	2.7765	-1.7311	-0.66392	-4.4353	4.4595	1.8312	-2.1593		0.22032	-2.6505	8.6517	5.622	9.2608	-0.20669	13.6258	1.2611	-0.25276	4.2652	8.7654	4.2088	-4.2615	1.1118	-3.5882	11.2842	2.4488	-5.5877	4.2241	6.8963	7.6136	5.0993	5.7085	-7.9227	1.7524	0.97647	-2.2141	-8.0578		1.5715		3.8878	2.0884	5.6138	11.8149	-7.4276	3.4071	-1.2953	-8.9617	8.9385	7.9131	16.4945	5.1012	-5.2154	3.3939	25.034	3.8027	4.2411	11.2669		-3.5083
221					11.4212	-10.443			6.0207		2.2223		12.4658	11.2586		1.4992	-4.1406		4.5686	5.0089			-8.0245	0.060477			7.5208	-2.0522			-0.97774			0.23232		7.0182	2.8102		-3.2138	11.3763			4.8535	3.8709				2.2049			7.438		3.9685			2.3576			4.9125		8.0491			5.2508				0.94983	1.1685		10.4507	-15.101		3.243		-4.4487				0.90324
222		7.7198					13.1788					9.9143									-7.2778	4.0924			0.64832	1.6331			-6.3035	0.21967		2.7986	1.9422		4.688			-0.37072			1.609	6.506			-0.95446	-3.9019			6.9713	0.70948		-7.3402		1.1096			3.7261					0.97058	4.3868		1.6101	-5.0852	-1.7805			-16.1399			-1.9102				-3.1746	6.3976		
223		-21.4984			-0.24627	-5.3477			-3.0026		5.4385		5.2816	-5.0724	-12.0964	4.3723	5.1656	-3.7495	4.0833	2.5146	3.8003	4.7399	-5.9491	4.5278	-1.2522	10.6974	7.6487	4.4915	-8.9703	1.7049	-0.68736	2.0909	6.9905	9.8789	1.9782	10.2259	1.9681	-0.81212	-3.1143	0.5864	2.8924	-3.3289	-5.8839	4.4182	3.2358	0.83738	5.4	-1.2413	-2.5405	1.2403	6.1439	0.51207	-2.5411	-0.44719		-6.2807	5.5914		-23.4992		1.6327	-3.1876	-4.3583	4.4091	10.4052	-5.809	1.7379	9.4577	12.3527	9.0344	4.5829	-7.6516	5.2436	0.9764		20.7301	18.5989	4.3313		-5.8691
224		23.8785			6.1164		12.8822		2.1211	1.7315	-4.6304	8.1907	5.0124	7.4539		-4.0032	13.1086	-3.0756	-6.8684	2.7605	0.69352	6.0683	-4.5107	-0.13104	-2.8612	15.5511	8.8088	-0.15317		-0.49748	3.1349	3.8314	1.3671	2.9723	-4.3009	9.4471	0.058376	-2.1688	-1.8473	1.6312	10.3206	1.1101	-6.5422	-8.0462	9.7096	0.70588	0.84966	2.9576	8.6343	7.266	-8.1941	0.552	-11.3219	-3.4748	-4.2444	-5.7736	12.8378		9.0463		1.2715	-1.4289	-0.78653	2.0695	0.99623	5.7581	0.67556	-6.5349	-1.3901	-5.7876	3.3888	-6.3174	-3.4717	3.1884	15.1498	6.769	-4.2663	13.5623		-2.701
231					2.7232	6.7052			-2.8897		7.7186		2.6411	9.1919		-6.7574	2.8031		8.4737	6.6063			5.0361	4.8524			-15.7154	-2.9526			4.1863			-0.7933		1.7705	-0.096937		13.1147	7.7465			-1.3161	-1.2913				7.4778			2.2564		2.235			-4.578			0.8785		4.3822			4.5979				13.0599	4.7813		0.95661	-3.9547		-0.02515		-4.796				2.0451
232		1.9581					-7.8798					-0.74559									-0.61152	3.9413			2.4744	2.7512			0.70696	5.6501		0.15047	7.0457		4.7894			-2.496			2.3648	4.7058			10.7649	8.7378			-2.856	-1.8277		-2.0314		-6.8009			-2.1628					5.0517	1.1691		8.8811	-5.4572	-5.0033			-1.7434			-1.8731				11.3695	-4.2135		
233		-1.2864			8.0498	1.9641			4.3377		-0.94775		1.3022	15.5498	-2.2681	-0.047426	20.0635	-2.382	-6.5928	-7.9817	-2.7062	-0.73729	1.5999	-2.2363	0.21652	-2.2184	0.56619	0.1058	3.6873	-4.0335	1.4236	0.069966	1.2968	-6.1852	1.8571	11.5797	2.9547	0.94697	-2.9558	-0.78231	2.8114	-2.942	-4.2645	28.4302	7.0223	-1.81	0.48254	-0.62849	-0.35551	-3.3372	4.4856	-2.5225	3.063	-1.0864		-5.8122	-4.5211		11.5025		3.6119	0.89479	0.75896	-2.0162	0.63991	-2.479	-0.098216	2.0372	0.91006	7.129	-2.8441	9.5635	1.5696	2.6661		-7.516	6.5585	18.4666		13.3077
234		5.3189			5.4014		-4.3878		8.5849	4.301	11.3011	13.6337	-0.21477	0.065683		-11.8364	12.8338	-2.1938	7.498	-3.4272	-8.866	4.9404	2.4683	4.8689	-2.6113	-2.1895	-2.988	1.7721		-4.9504	0.92421	-2.1252	6.7713	8.0538	8.0072	-10.4181	0.34641	-8.3452	2.4931	2.8101	6.939	10.175	5.8656	-9.3833	5.1837	3.4306	-4.8752	3.1446	2.1195	-7.7426	-0.3944	0.58723	9.6134	0.66747	-0.408	-4.5963	10.5444		10.1685		-0.26796	1.4204	-3.6786	5.8064	-0.90409	8.4489	-2.2153	2.636	-0.90283	-6.2131	9.2968	14.1654	2.3397	1.2786	6.5009	12.2732	9.9428	2.0121		1.4515
