"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"Subj","factor",134,0,72,NA,NA,2,"1",NA,0.985520160392069,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MMR","numeric",134,0,134,0.728510930447761,1.1963225,1.1963225,NA,6.1933987754362,NA,-19.6389,14.67825,34.31715,-0.247558339449495,-0.591436133235355,0.318963638529629,0.3837000159913,NA,NA
"Group","factor",134,0,3,NA,NA,69,"fam",NA,0.499554466473602,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TestSpeaker","factor",134,0,3,NA,NA,69,"S4",NA,0.499554466473602,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VoiceTrain","character",134,0,9,NA,NA,20,"23_2",NA,0.873245711739808,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TestOrder","integer",134,0,4,1769.49253731343,1413,1413,NA,540.342772667466,NA,1143,2423,1280,0.0867242919562429,0.207191080721554,-1.8327153435944,-2.20468047670377,NA,NA
"age","numeric",134,0,26,-7.21409111578531e-17,0.194050399359085,0.194050399359085,NA,1,NA,-2.25463939345017,1.47669743368774,3.73133682713792,-0.515295473855548,-1.23108097755269,-0.683414289708485,-0.822119019894081,NA,NA
"sex","character",134,0,3,NA,NA,72,"m",NA,0.497215415460013,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nrSpeakersDaily","numeric",134,0,26,-5.79542470967951e-17,-0.214800919297305,-0.214800919297305,NA,1,NA,-0.562845939682296,6.32844546394054,6.89129140362283,4.66920218224041,11.1550872820495,24.4474072783464,29.4092160689218,NA,NA
"sleepState","factor",134,0,3,NA,NA,127,"awake",NA,0.0990198262419248,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BlocksAsleep","character",134,0,5,NA,NA,117,"0",NA,0.23134328358209,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lab","character",134,0,4,NA,NA,109,"Charité",NA,0.308643350412119,NA,NA,NA,NA,NA,NA,NA,NA,NA
"daysVoicetraining","integer",132,0.0149253731343284,14,20.3712121212121,20,20,NA,2.58417173533698,NA,15,28,13,0.539100654559393,1.27851552413531,0.335032985042459,0.400117354010348,NA,NA
"Anmerkungen","character",134,0,13,NA,NA,113,"",NA,0.286589440855424,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CommentsProtokoll","character",134,0,56,NA,NA,19,"0",NA,0.956560481176209,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mumDist","numeric",134,0,133,-1.79081179719664e-16,-0.3376216811176,-0.3376216811176,NA,1,NA,-1.41277798203394,3.27125211113592,4.68403009316986,1.02317243034848,2.44443853995789,0.480151518884453,0.577602344654398,NA,NA
"TrialsStan","numeric",134,0,47,47.1119402985075,50,50,NA,12.1244551526363,NA,16,70,54,-0.430340876028618,-1.02811783379007,-0.530181699966877,-0.637786575590146,NA,NA
"TrialsDev","numeric",134,0,26,23.5597014925373,24.5,24.5,NA,6.03935862006904,NA,11,39,28,-0.182532297258519,-0.436083859348916,-0.693577530098272,-0.834344976175685,NA,NA
