"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"Subj","factor",102,0,38,NA,NA,3,"1",NA,0.971741637831603,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MMR","numeric",102,0,102,1.08086253921569,1.426475,1.426475,NA,6.8944401093466,NA,-24.6003,14.49625,39.09655,-0.414988712410839,-0.867926907184339,0.877742259550989,0.926219814968566,NA,NA
"Group","factor",102,0,2,NA,NA,102,"fam",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TestSpeaker","factor",102,0,4,NA,NA,35,"S4",NA,0.666474432910419,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VoiceTrain","character",102,0,9,NA,NA,18,"13_1",NA,0.869281045751634,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TestOrder","integer",102,0,4,1803.98039215686,1413,1413,NA,540.8528465229,NA,1143,2423,1280,-0.0157176472980102,-0.0328726266512786,-1.84805763896608,-1.9501255474358,NA,NA
"age","numeric",102,0,17,-9.17904692205743e-17,0.193107476372054,0.193107476372054,NA,1,NA,-1.92125573949823,1.41721249608643,3.33846823558467,-0.46119578825554,-0.964566558405072,-0.905025477730652,-0.955009880638916,NA,NA
"sex","character",102,0,3,NA,NA,58,"m",NA,0.490580545943868,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nrSpeakersDaily","numeric",102,0,17,-2.6477386289733e-17,-0.198065939056345,-0.198065939056345,NA,1,NA,-0.563395519232604,6.67013016825733,7.23352568748994,5.80016277903335,12.1307331776011,35.8486131813447,37.8285259783324,NA,NA
"sleepState","factor",102,0,3,NA,NA,92,"awake",NA,0.176855055747789,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BlocksAsleep","character",102,0,5,NA,NA,84,"0",NA,0.309688581314879,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lab","character",102,0,4,NA,NA,87,"Charité",NA,0.257785467128028,NA,NA,NA,NA,NA,NA,NA,NA,NA
"daysVoicetraining","integer",102,0,11,20.1078431372549,20,20,NA,2.57523184670029,NA,16,28,12,1.08046107252249,2.25972709368331,1.12038898559647,1.18226787834373,NA,NA
"Anmerkungen","character",102,0,8,NA,NA,88,"",NA,0.2520184544406,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CommentsProtokoll","character",102,0,31,NA,NA,18,"0",NA,0.941753171856978,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mumDist","numeric",102,0,102,-1.92800709378631e-16,-0.205707374502696,-0.205707374502696,NA,1,NA,-1.58887638685289,3.26281178947137,4.85168817632425,0.89503176171933,1.87191151361186,0.563632793204873,0.594762136324037,NA,NA
"TrialsStan","numeric",102,0,48,45.7352941176471,50,50,NA,13.1976043960192,NA,13,70,57,-0.574076270482584,-1.2006501069229,-0.486067910102581,-0.512913357945958,NA,NA
"TrialsDev","numeric",102,0,27,23.2941176470588,24,24,NA,6.67875045420822,NA,10,39,29,-0.249573365514957,-0.521969472346848,-0.659631743870958,-0.696063092676079,NA,NA
