"Subj","Group","TestSpeaker","MMR"
"01","fam","S1",10.2905
"02","fam","S1",14.1608
"04","fam","S1",-4.3686
"05","fam","S1",9.1421
"06","fam","S1",8.4682
"07","fam","S1",-15.1541
"08","unfam","S1",-0.2251
"09","unfam","S1",14.6458
"10","unfam","S1",8.90401
"11","unfam","S1",-2.2292
"12","unfam","S1",-4.079
"13","unfam","S1",7.429
"15","unfam","S1",31.3438
"01","fam","S3",-4.23969
"02","fam","S3",1.6605196
"04","fam","S3",9.7445
"05","fam","S3",-0.658000000000001
"06","fam","S3",3.8329
"07","fam","S3",45.343
"08","unfam","S3",9.1047
"09","unfam","S3",2.607
"10","unfam","S3",8.1091
"11","unfam","S3",6.8443
"12","unfam","S3",-16.3186
"13","unfam","S3",4.90316
"15","unfam","S3",-27.2915
"01","fam","S4",-3.4177
"02","fam","S4",-1.36399
"04","fam","S4",0.398300000000001
"05","fam","S4",39.7539
"06","fam","S4",5.1445
"07","fam","S4",-7.5888
"08","unfam","S4",5.0975
"09","unfam","S4",1.86231
"10","unfam","S4",5.7229
"11","unfam","S4",25.3595
"12","unfam","S4",-40.6918
"13","unfam","S4",4.957
"15","unfam","S4",13.5846
