"Subj","Group","TestSpeaker","MMR"
"01","fam","1",7.23429
"02","fam","1",6.5438
"04","fam","1",-8.265
"05","fam","1",27.5557
"06","fam","1",7.57474
"07","fam","1",24.1686
"08","unfam","1",1.7728
"09","unfam","1",8.1256
"10","unfam","1",6.0907
"11","unfam","1",-15.7358
"12","unfam","1",-22.7451
"13","unfam","1",-1.1192
"15","unfam","1",-4.2191
"01","fam","3",-4.2387
"02","fam","3",-0.3645
"04","fam","3",-13.5495
"05","fam","3",-14.7008
"06","fam","3",14.370549
"07","fam","3",19.5746
"08","unfam","3",17.2772
"09","unfam","3",-5.2116
"10","unfam","3",5.91123
"11","unfam","3",-20.2417
"12","unfam","3",-0.399400000000001
"13","unfam","3",-5.6828
"15","unfam","3",20.7401
"01","fam","4",-3.0626
"02","fam","4",3.62637
"04","fam","4",-12.0694
"05","fam","4",15.76519
"06","fam","4",-3.38706
"07","fam","4",13.44458
"08","unfam","4",8.3872
"09","unfam","4",1.3584
"10","unfam","4",3.0982
"11","unfam","4",-0.9318
"12","unfam","4",1.8162
"13","unfam","4",4.6531
"15","unfam","4",5.2458
