"Subj","Group","TestSpeaker","MMR"
"01","fam","S1",6.6175
"02","fam","S1",1.7125
"04","fam","S1",4.9304
"05","fam","S1",22.2936
"06","fam","S1",-4.4185
"07","fam","S1",-2.4698
"08","unfam","S1",1.0044
"09","unfam","S1",4.56443
"10","unfam","S1",3.9733
"11","unfam","S1",-2.4538
"12","unfam","S1",-4.953
"13","unfam","S1",6.70212
"15","unfam","S1",4.6021
"01","fam","S3",-0.00800000000000001
"02","fam","S3",-1.8807
"04","fam","S3",2.2592
"05","fam","S3",-24.5815
"06","fam","S3",0.3778
"07","fam","S3",0.0856999999999999
"08","unfam","S3",9.2727
"09","unfam","S3",3.03737
"10","unfam","S3",4.2194
"11","unfam","S3",10.0503
"12","unfam","S3",0.775399999999999
"13","unfam","S3",-2.7454
"15","unfam","S3",2.4483
"01","fam","S4",1.6479
"02","fam","S4",0.75613
"04","fam","S4",-11.3665
"05","fam","S4",16.20898
"06","fam","S4",3.37185
"07","fam","S4",4.7581
"08","unfam","S4",3.4417
"09","unfam","S4",0.5179
"10","unfam","S4",7.8374
"11","unfam","S4",0.9505
"12","unfam","S4",8.679
"13","unfam","S4",3.6655
"15","unfam","S4",2.7646
