Parameter,Component,Mean,SD,CI,CI_low,CI_high,Rhat,ESS
b_Intercept,conditional,1.5,0.96,0.95,-0.39,3.39,1,139893.63
b_TestSpeaker1,conditional,-0.26,1.35,0.95,-2.9,2.4,1,121591.98
b_TestSpeaker2,conditional,-1.24,1.11,0.95,-3.44,0.95,1,181311.45
b_Group1,conditional,-0.46,0.99,0.95,-2.41,1.49,1,135137.45
b_mumDist,conditional,-0.77,0.56,0.95,-1.88,0.32,1,120821.99
b_nrSpeakersDaily,conditional,0.34,0.49,0.95,-0.61,1.31,1,142508.81
b_sleepState1,conditional,-1.6,1.94,0.95,-5.39,2.2,1,139476.43
b_age,conditional,0.46,0.5,0.95,-0.52,1.45,1,138356.7
b_TestSpeaker1:Group1,conditional,-5.53,2.4,0.95,-10.25,-0.84,1,139100.87
b_TestSpeaker2:Group1,conditional,2.51,2.11,0.95,-1.66,6.64,1,195455.76
sigma,sigma,5.85,0.64,0.95,4.5,6.96,1,7076.48
