Cond	19	20	21	24	25	26	28	29	30	32	48	50	52	57	62	64	68	69	01	02	03	04	05	06	07	08	09	10	11	12	14	15	16	22	31	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	49	51	53	54	55	56	58	59	60	63	65	66	67	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87
11			32		71	65		72	80		88		136	74		27	109		73	77			107	131			105	98			116			86		127	111		101	115			123	58			23	112			112		66			115			48		120			126				43	106		141	75		83	58	121				68
21			35		65	88		79	95		87		122	54		25	99		73	56			84	139			110	100			109			87		138	109		96	109			128	43			26	126			103		61			115			58		124			123				50	105		130	73		81	68	126				52
12	19	56		40			47			59		72			67			43			95	126			110	120			51	105		124	108		106			114			135	125			71	15			117	100		122		102	108		97	112		123		125	146		98	95	105			95			103				126	96	135	
22	20	52		49			44			60		78			55			45			85	123			117	106			52	101		118	99		109			111			141	130			83	18			110	97		123		113	122		89	117		105		128	131		97	90	101			92			108				124	91	139	
101			2		17	14		6	22		28		27	25		26	15		28	17			20	27			14	31			24			20		28	28		13	26			25	12			9	25			29		27			27			14		23			32				24	21		25	21		26	6	26				18
102	3	15		2			12			8		18			8			7			24	25			35	26			11	34		28	30		27			24			30	27			16	28			25	26		28		26			23	27		22		23	32		28	27	22			15			22				31	19	34	
103	4	15			26	24	5	8	28		21	8	30	16	11	24	26	23	24	11	25	25	15	30	29	26	20	19	12	23	26	24	22	25	31	28	18	30	23	26	22	26	24	11	32	24	28	29	14	37	26	30	29	24		26	21	36	11	7	24	26	20	24	27	27	23	22	29	10	16	10	21	35	4	21	24	27	21	16
104	7	25		1	14	7	15	9	25	23	19	21	25	21	8	23	21	13	31	16	28	27	20	17	31	24	17	30	6	29	30	28	33	16	24	29	29	26	11	39	23	25	23	17	34	31	14	25	17	29	15	33	22	22	24	27	26	22	24	13	30	29	29	30	21	22	21	17	27	16	18	18	34	32	12	21	31	20	30	16
211			5		40	24		20	47		65		68	53		66	44		66	39			39	51			34	67			50			63		56	66		43	60			56	21			10	62			54		64			46			32		57			64				45	50		67	50		57	12	63				38
212	10	32		6			19			21		28			36			17			55	55			78	56			26	69		63	66		51			54			73	52			37	66			52	72		62		55			51	65		50		60	67		71	64	51			32			50				62	47	77	
213	7	26		1	69	38	7	15	53		50	30	66	38	22	51	48	64	62	22	60	58	40	62	54	59	44	53	20	62	61	59	58	52	54	60	41	66	53	54	54	52	60	19	75	68	52	67	41	83	56	65	62	55		53	58	75	25	43	52	59	55	44	64	57	58	58	66	15	36	16	59	67	7	43	52	51	60	30
214	17	54		5	29	24	39	22	62	60	46	41	64	56	13	62	49	31	58	47	68	54	43	40	68	48	37	69	12	72	63	66	69	43	53	62	72	70	23	76	67	66	50	48	66	80	29	50	38	63	41	75	45	51	66	77	66	56	54	36	59	72	70	64	47	55	63	49	61	35	38	32	73	61	26	54	79	39	62	30
221					18	11		3	23		33		23	24		27	24		29	20			20	26			11	29			22			23		24	31		20	23			24	15			7	34			29		25			28			18		25			28				19	19		28	18		24	4	20				20
222	9	15					11			7		17			13			10			23	26			35	24			12	30		28	32		27			25			30	26			15	31			17	35		30		28			24	29		13		25	30		32	30	23			12			25				31	20	33	
223	3	15		1	31	20	2	4	23		19	7	30	26	9	26	24	23	28	13	25	27	18	29	21	27	30	18	9	23	27	25	25	20	28	26	19	24	25	27	24	20	29	9	33	29	32	28	10	33	29	36	27	20		21	24	31	8	22	25	24	19	27	26	27	25	19	31	9	11	6	27	34	5	15	20	24	21	13
224	7	22		1	14	11	14	9	28	23	18	16	25	29	6	32	20	18	29	19	30	28	20	15	33	17	15	31	6	28	28	25	34	18	23	27	28	24	13	32	28	26	21	20	31	35	15	25	20	32	25	32	22	27	19	33	26	22	22	16	27	27	32	28	20	23	20	25	29	12	15	9	35	25	7	16	33	17	27	13
231					18	10		5	25		26		25	27		29	27		24	21			18	21			7	28			24			27		25	28		19	23			27	17			7	29			26		23			23			17		26			30				26	16		24	16		28	7	21				20
232	4	19		2			13			14		16			10			9			27	25			34	27			13	33		25	27		21			24			25	23			18	27			24	25		27		23			16	27		19		29	27		32	26	19			12			25				26	15	35	
233	4	12		1	29	18	6	6	28		24	11	27	12	9	29	22	29	28	9	25	26	16	29	26	29	22	24	12	29	30	25	25	20	29	30	22	23	26	24	26	29	23	8	32	34	29	27	17	35	31	26	30	22		18	21	34	16	15	22	26	25	20	31	23	25	20	30	4	12	9	26	30	3	23	23	31	23	14
234	6	25			16	11	15	11	27	21	20	14	27	27	9	24	16	14	30	17	31	29	17	20	33	19	16	29	11	28	33	26	31	17	27	26	31	30	13	38	21	28	25	18	32	33	11	25	21	26	23	34	22	23	26	28	30	28	26	13	35	30	24	25	22	22	20	23	25	14	17	13	34	27	9	29	28	21	28	11
